,email,address,key
0,heber.tremblay@friesen.com,ул. Дзержинскогод.6 кв.466,8
1,moen.ryder@volkman.biz,Красноармейская ул.д.34 кв.102,20
2,lueilwitz.arlene@friesen.com,пр. Якушкинад.60 кв.107,19
3,kuhn.deven@feeney.com,Б. Марфинская ул.д.31 кв.159,20
4,carmelo36@johnson.com,ул. Быстролётовад.81 кв.107,8
5,jarret.gleason@hotmail.com,Высокая ул.д.77 кв.232,4
6,shanahan.eleonore@hotmail.com,Новосущёвская ул.д.80 кв.422,23
7,kwolf@mraz.net,ул. Дачнаяд.25 кв.43,10
8,ayden.nienow@abshire.biz,Столбовая ул.д.14 кв.61,19
9,kuhlman.naomie@yahoo.com,Ср. Кисловский пер.д.73 кв.65,9
